CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;LSTAT;target
632;180;231;0;538;6575;652;409;10;2960;153;498;240
2731;0;707;0;469;6421;789;49671;20;2420;178;914;216
2729;0;707;0;469;7185;611;49671;20;2420;178;403;347
3237;0;218;0;458;6998;458;60622;30;2220;187;294;334
6905;0;218;0;458;7147;542;60622;30;2220;187;533;362
2985;0;218;0;458;643;587;60622;30;2220;187;521;287
8829;125;787;0;524;6012;666;55605;50;3110;152;1243;229
14455;125;787;0;524;6172;961;59505;50;3110;152;1915;271
21124;125;787;0;524;5631;1000;60821;50;3110;152;2993;165
17004;125;787;0;524;6004;859;65921;50;3110;152;171;189
22489;125;787;0;524;6377;943;63467;50;3110;152;2045;150
11747;125;787;0;524;6009;829;62267;50;3110;152;1327;189
9378;125;787;0;524;5889;390;54509;50;3110;152;1571;217
62976;0;814;0;538;5949;618;47075;40;3070;210;826;204
63796;0;814;0;538;6096;845;44619;40;3070;210;1026;182
62739;0;814;0;538;5834;565;44986;40;3070;210;847;199
105393;0;814;0;538;5935;293;44986;40;3070;210;658;231
7842;0;814;0;538;599;817;42579;40;3070;210;1467;175
80271;0;814;0;538;5456;366;37965;40;3070;210;1169;202
7258;0;814;0;538;5727;695;37965;40;3070;210;1128;182
125179;0;814;0;538;557;981;37979;40;3070;210;2102;136
85204;0;814;0;538;5965;892;40123;40;3070;210;1383;196
123247;0;814;0;538;6142;917;39769;40;3070;210;1872;152
98843;0;814;0;538;5813;1000;40952;40;3070;210;1988;145
75026;0;814;0;538;5924;941;43996;40;3070;210;163;156
84054;0;814;0;538;5599;857;44546;40;3070;210;1651;139
67191;0;814;0;538;5813;903;4682;40;3070;210;1481;166
95577;0;814;0;538;6047;888;44534;40;3070;210;1728;148
77299;0;814;0;538;6495;944;44547;40;3070;210;128;184
100245;0;814;0;538;6674;873;4239;40;3070;210;1198;210
113081;0;814;0;538;5713;941;4233;40;3070;210;226;127
135472;0;814;0;538;6072;1000;4175;40;3070;210;1304;145
138799;0;814;0;538;595;820;399;40;3070;210;2771;132
115172;0;814;0;538;5701;950;37872;40;3070;210;1835;131
161282;0;814;0;538;6096;969;37598;40;3070;210;2034;135
6417;0;596;0;499;5933;682;33603;50;2790;192;968;189
9744;0;596;0;499;5841;614;33779;50;2790;192;1141;200
8014;0;596;0;499;585;415;39342;50;2790;192;877;210
17505;0;596;0;499;5966;302;38473;50;2790;192;1013;247
2763;750;295;0;428;6595;218;54011;30;2520;183;432;308
3359;750;295;0;428;7024;158;54011;30;2520;183;198;349
12744;0;691;0;448;677;29;57209;30;2330;179;484;266
1415;0;691;0;448;6169;66;57209;30;2330;179;581;253
15936;0;691;0;448;6211;65;57209;30;2330;179;744;247
12269;0;691;0;448;6069;400;57209;30;2330;179;955;212
17142;0;691;0;448;5682;338;51004;30;2330;179;1021;193
18836;0;691;0;448;5786;333;51004;30;2330;179;1415;200
22927;0;691;0;448;603;855;56894;30;2330;179;188;166
25387;0;691;0;448;5399;953;587;30;2330;179;3081;144
21977;0;691;0;448;5602;620;60877;30;2330;179;162;194
8873;210;564;0;439;5963;457;68147;40;2430;168;1345;197
4337;210;564;0;439;6115;630;68147;40;2430;168;943;205
536;210;564;0;439;6511;211;68147;40;2430;168;528;250
4981;210;564;0;439;5998;214;68147;40;2430;168;843;234
136;750;40;0;41;5888;476;73197;30;4690;211;148;189
1311;900;122;0;403;7249;219;86966;50;2260;179;481;354
2055;850;74;0;41;6383;357;91876;20;3130;173;577;247
1432;1000;132;0;411;6816;405;83248;50;2560;151;395;316
15445;250;513;0;453;6145;292;78148;80;2840;197;686;233
10328;250;513;0;453;5927;472;6932;80;2840;197;922;196
14932;250;513;0;453;5741;662;72254;80;2840;197;1315;187
17171;250;513;0;453;5966;934;68185;80;2840;197;1444;160
11027;250;513;0;453;6456;678;72255;80;2840;197;673;222
1265;250;513;0;453;6762;434;79809;80;2840;197;95;250
1951;175;138;0;4161;7104;595;92229;30;2160;186;805;330
3584;800;337;0;398;629;178;66115;40;3370;161;467;235
4379;800;337;0;398;5787;311;66115;40;3370;161;1024;194
5789;125;607;0;409;5878;214;6498;40;3450;189;81;220
13554;125;607;0;409;5594;368;6498;40;3450;189;1309;174
12816;125;607;0;409;5885;330;6498;40;3450;189;879;209
8826;0;1081;0;413;6417;66;52873;40;3050;192;672;242
15876;0;1081;0;413;5961;175;52873;40;3050;192;988;217
9164;0;1081;0;413;6065;78;52873;40;3050;192;552;228
19539;0;1081;0;413;6245;62;52873;40;3050;192;754;234
7896;0;1283;0;437;6273;60;42515;50;3980;187;678;241
9512;0;1283;0;437;6286;450;45026;50;3980;187;894;214
10153;0;1283;0;437;6279;745;40522;50;3980;187;1197;200
8707;0;1283;0;437;614;458;40905;50;3980;187;1027;208
5646;0;1283;0;437;6232;537;50141;50;3980;187;1234;212
8387;0;1283;0;437;5874;366;45026;50;3980;187;91;203
4113;250;486;0;426;6727;335;54007;40;2810;190;529;280
4462;250;486;0;426;6619;704;54007;40;2810;190;722;239
3659;250;486;0;426;6302;322;54007;40;2810;190;672;248
3551;250;486;0;426;6167;467;54007;40;2810;190;751;229
5059;0;449;0;449;6389;480;47794;30;2470;185;962;239
5735;0;449;0;449;663;561;44377;30;2470;185;653;266
5188;0;449;0;449;6015;451;44272;30;2470;185;1286;225
7151;0;449;0;449;6121;568;37476;30;2470;185;844;222
566;0;341;0;489;7007;863;34217;20;2700;178;55;236
5302;0;341;0;489;7079;631;34145;20;2700;178;57;287
4684;0;341;0;489;6417;661;30923;20;2700;178;881;226
3932;0;341;0;489;6405;739;30921;20;2700;178;82;220
4203;280;1504;0;464;6442;536;36659;40;2700;182;816;229
2875;280;1504;0;464;6211;289;36659;40;2700;182;621;250
4294;280;1504;0;464;6249;773;3615;40;2700;182;1059;206
12204;0;289;0;445;6625;578;34952;20;2760;180;665;284
11504;0;289;0;445;6163;696;34952;20;2760;180;1134;214
12083;0;289;0;445;8069;760;34952;20;2760;180;421;387
8187;0;289;0;445;782;369;34952;20;2760;180;357;438
686;0;289;0;445;7416;625;34952;20;2760;180;619;332
14866;0;856;0;52;6727;799;27778;50;3840;209;942;275
11432;0;856;0;52;6781;713;28561;50;3840;209;767;265
22876;0;856;0;52;6405;854;27147;50;3840;209;1063;186
21161;0;856;0;52;6137;874;27147;50;3840;209;1344;193
1396;0;856;0;52;6167;900;2421;50;3840;209;1233;201
13262;0;856;0;52;5851;967;21069;50;3840;209;1647;195
